"","Region","Country","Latitude","Longitude","Elevation"
"98","South America","Argentina",-31.5833,-64.8333,2241.34643554688
"99","South America","Brazil",-5.866,-35.383,60.054931640625
"100","South America","Brazil",-32.08338,-52.16725,4.13925123214722
"101","South America","Brazil",-2.316,-44.3676,41.0805320739746
"102","South America","France",5.23739,-52.7695,8.42851257324219
"103","South America","Peru",-12.50477,-76.79849,83.9839401245117
"104","South America","Peru",-12.5,-76.8,2.93777775764465
"105","South America","Suriname",5.87241,-56.28908,5.88302421569824
"106","Oceania","Australia",-30.95875,136.50366,148
"107","Oceania","Australia",-24.48564,113.40866,5.99611711502075
"108","Oceania","Australia",-30.98309,115.31774,8.33984851837158
"109","Oceania","Australia",-34.934,135.6523,68.2676315307617
"110","Oceania","Marshall Islands",9.048167,167.743083,5.89660024642944
"111","Oceania","New Zealand",-43.817,172.683,10
"112","Oceania","New Zealand",-39.26044,177.86431,70.8592910766602
